Date,Open,High,Low,Close,Volume
2025-01-01,149.72,151.34,147.84,151.11,4446811
2025-01-02,149.4,152.05,145.04,151.69,2369851
2025-01-03,152.05,155.13,147.3,148.48,4410497
2025-01-04,148.1,150.04,146.4,148.38,4657719
2025-01-05,148.54,151.14,147.1,150.01,3104345
2025-01-06,152.91,156.19,150.45,154.49,2505715
2025-01-07,152.18,156.95,148.47,150.3,3867144
2025-01-08,149.35,153.83,144.41,146.19,2576725
2025-01-09,143.99,148.13,139.6,141.34,1612385
2025-01-10,140.97,143.42,138.67,142.1,4315711
2025-01-11,143.57,147.95,140.48,140.7,3276070
2025-01-12,139.83,141.5,138.35,141.49,2503157
2025-01-13,139.45,141.02,138.37,140.34,3627928
2025-01-14,138.93,140.85,137.44,138.43,1686454
2025-01-15,136.76,140.42,134.28,134.81,4264345
2025-01-16,133.29,137.44,131.38,134.77,1450212
2025-01-17,135.86,137.59,131.84,135.1,4878170
2025-01-18,133.71,135.79,131.87,132.55,1544699
2025-01-19,134.48,135.59,132.72,132.77,3849666
2025-01-20,133.78,138.62,128.89,133.52,4554178
2025-01-21,132.21,133.93,130.14,133.16,4857570
2025-01-22,136.02,140.88,133.58,135.12,3587245
2025-01-23,135.01,139.1,133.03,138.21,1937296
2025-01-24,138.37,142.53,136.88,138.4,4076737
2025-01-25,136.08,139.55,132.02,139.1,3936909
2025-01-26,138.39,142.4,135.92,140.0,4032528
2025-01-27,140.22,144.18,138.98,139.63,4070758
2025-01-28,141.66,144.63,137.59,143.23,1971800
2025-01-29,144.74,148.48,139.84,147.87,1147008
2025-01-30,149.4,152.64,145.19,149.69,2404668
2025-01-31,148.88,151.91,146.46,149.73,3162657
2025-02-01,151.52,155.57,147.21,154.26,3673464
2025-02-02,157.06,161.56,153.93,156.93,2408759
2025-02-03,154.15,158.11,149.19,156.0,1800151
2025-02-04,157.56,159.36,154.66,158.9,4220415
2025-02-05,155.94,157.95,154.36,156.66,2132471
2025-02-06,159.27,162.76,157.81,161.74,3225727
2025-02-07,161.8,165.06,158.26,162.76,2845859
2025-02-08,165.73,167.36,163.55,164.83,2050289
2025-02-09,166.74,169.9,164.1,164.32,2364580
2025-02-10,166.7,170.32,162.62,163.92,3876343
2025-02-11,166.34,169.18,163.58,166.57,3185614
2025-02-12,169.38,171.98,165.36,166.46,1168837
2025-02-13,164.87,168.46,160.57,165.01,1772986
2025-02-14,167.3,169.27,162.63,165.89,4507650
2025-02-15,168.03,169.19,164.55,166.7,3086779
2025-02-16,166.99,171.68,165.41,165.54,3639931
2025-02-17,165.95,168.82,162.85,168.44,1659321
2025-02-18,169.14,172.5,167.72,168.91,4089550
2025-02-19,168.03,171.83,165.81,170.91,1835822
2025-02-20,169.43,174.33,167.37,173.95,4558508
2025-02-21,174.49,179.03,173.42,178.06,1890383
2025-02-22,180.55,182.02,177.55,179.77,2624574
2025-02-23,179.06,181.0,174.49,175.22,4984363
2025-02-24,174.91,178.67,173.75,176.82,2807485
2025-02-25,175.81,179.04,174.29,178.11,3080282
2025-02-26,179.3,180.54,175.75,175.75,1049240
2025-02-27,178.61,180.3,176.33,179.5,2183413
2025-02-28,179.67,183.36,175.31,178.27,2614326
2025-03-01,176.39,177.65,171.83,174.61,4224971
2025-03-02,175.91,180.44,173.01,178.27,4334774
2025-03-03,178.83,180.13,176.48,177.48,4341749
2025-03-04,178.44,182.62,174.44,175.05,1952415
2025-03-05,176.68,179.02,175.67,176.52,4758119
2025-03-06,177.34,180.12,173.05,176.47,1686999
2025-03-07,175.84,180.15,173.5,177.25,4954247
2025-03-08,178.15,179.15,174.59,176.74,1714238
2025-03-09,176.8,179.87,172.95,176.68,3469569
2025-03-10,177.86,179.46,174.92,177.9,3935396
2025-03-11,175.72,178.61,174.69,177.51,4851154
2025-03-12,177.47,180.42,174.61,179.5,4334614
2025-03-13,182.01,185.44,180.52,180.84,2213628
2025-03-14,183.18,186.92,180.24,183.17,2641055
2025-03-15,180.79,181.86,179.17,181.04,1071981
2025-03-16,182.38,186.92,177.39,185.77,2196234
2025-03-17,184.86,188.39,183.33,188.18,3891781
2025-03-18,190.71,194.32,189.31,192.38,4508816
2025-03-19,195.16,200.1,190.49,197.68,2237766
2025-03-20,198.99,201.85,197.67,199.21,3086297
2025-03-21,199.82,202.92,195.28,197.5,4734018
2025-03-22,197.72,200.38,196.32,199.66,1825819
2025-03-23,197.23,201.54,196.12,200.95,2658947
2025-03-24,198.35,203.33,193.81,201.87,1949973
2025-03-25,201.51,206.05,196.85,204.63,4332782
2025-03-26,207.37,210.98,205.34,210.49,3766317
2025-03-27,209.12,213.67,204.61,209.39,3018615
2025-03-28,211.89,214.52,208.07,211.71,3836719
2025-03-29,214.64,219.07,213.32,218.66,1633668
2025-03-30,220.87,224.95,217.96,220.98,4636608
2025-03-31,222.89,226.29,221.35,226.01,3833887
2025-04-01,224.8,226.06,223.2,225.86,3581878
2025-04-02,225.63,229.77,224.3,228.71,2648204
2025-04-03,229.87,234.49,228.62,230.75,2018887
2025-04-04,232.58,236.64,228.2,229.76,3438522
2025-04-05,232.2,234.66,228.15,232.77,4198722
2025-04-06,232.87,236.39,229.62,230.27,2034616
2025-04-07,232.75,233.81,228.54,230.42,3350820
2025-04-08,230.95,235.8,228.63,229.66,2021777
2025-04-09,229.32,231.75,226.23,230.56,4015950
2025-04-10,229.35,232.62,226.47,232.58,1148845
2025-04-11,231.58,235.33,228.73,229.69,2645851
2025-04-12,228.85,232.34,225.5,228.43,4086269
2025-04-13,226.29,227.58,223.74,226.54,2843072
2025-04-14,229.16,230.37,227.87,227.96,3216998
2025-04-15,227.41,231.99,223.67,224.67,3601026
2025-04-16,226.04,228.42,221.19,224.59,3256363
2025-04-17,226.34,227.7,221.38,223.31,3438955
2025-04-18,226.17,230.04,222.87,229.29,3765616
2025-04-19,229.99,231.77,225.57,226.03,2092368
2025-04-20,223.58,225.32,220.7,223.47,3046705
2025-04-21,221.61,226.1,216.78,217.62,3649076
2025-04-22,217.21,220.28,215.2,215.58,4405374
2025-04-23,216.72,220.28,213.52,218.63,4735909
2025-04-24,217.27,221.28,215.22,218.97,1882233
2025-04-25,217.84,220.22,214.6,215.96,1441864
2025-04-26,216.49,219.5,213.98,218.89,1328509
2025-04-27,217.92,221.6,216.43,216.63,4552788
2025-04-28,214.65,216.88,212.69,214.05,3025796
2025-04-29,213.33,215.68,209.12,214.82,4408625
2025-04-30,213.0,217.55,211.53,214.89,1511552
